2020-12-30 08:35:35.122 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-30 08:37:05.042 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.Customer - =================更新操作================
2020-12-30 08:37:05.042 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.OrderAspect - ***@Order(1)******update-最终通知**********
2020-12-30 08:37:05.043 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.MyAspectAnno - ***@Order(0)******update-最终通知**********
2020-12-30 08:37:05.043 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.MyAspectAnno - =====@Order(0)======find-环绕前通知===========
2020-12-30 08:37:05.043 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.OrderAspect - =@Order(1)==========find-环绕前通知===========
2020-12-30 08:37:05.044 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.Customer - =================查找操作================
2020-12-30 08:37:05.045 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.OrderAspect - ==@Order(1)===========find-环绕后通知===============
2020-12-30 08:37:05.045 [main] INFO  com.ex.evil_log.aspectj_aop_cjlib.MyAspectAnno - =====@Order(0)========find-环绕后通知===============
2020-12-30 08:37:35.834 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-30 08:37:35.859 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7f1302d6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@43ee72e6, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@23529fee, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4fe767f3, org.springframework.test.context.event.EventPublishingTestExecutionListener@2805c96b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@184cf7cf, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2fd6b6c7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5bfa9431, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5db250b4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@223f3642, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@38c5cc4c]
2020-12-30 08:37:37.046 [main] INFO  com.ex.evil_log.xml_aop_jdk.CustomerDao - 保存操作********
2020-12-30 08:37:37.049 [main] INFO  com.ex.evil_log.xml_aop_jdk.MyAspect - 后置通知=========================save-return
2020-12-30 08:37:37.050 [main] INFO  com.ex.evil_log.xml_aop_jdk.CustomerDao - 增加操作********
2020-12-30 08:37:37.050 [main] INFO  com.ex.evil_log.xml_aop_jdk.CustomerDao - 删除操作********
2020-12-30 08:37:37.051 [main] INFO  com.ex.evil_log.xml_aop_jdk.MyAspect - 环绕前通知=========================
2020-12-30 08:37:37.051 [main] INFO  com.ex.evil_log.xml_aop_jdk.CustomerDao - 查找所有操作********
2020-12-30 08:37:37.052 [main] INFO  com.ex.evil_log.xml_aop_jdk.MyAspect - 环绕后通知=========================
2020-12-30 08:37:37.053 [main] INFO  com.ex.evil_log.xml_aop_jdk.CustomerDao - 增加操作********
2020-12-30 08:37:37.054 [main] INFO  com.ex.evil_log.xml_aop_jdk.CustomerDao - 查找一个操作********
2020-12-30 08:37:37.055 [main] INFO  com.ex.evil_log.xml_aop_jdk.MyAspect - 最终通知=========================
2020-12-30 10:36:23.436 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 保存操作******
2020-12-30 10:36:23.440 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 更新操作******
2020-12-30 10:36:23.441 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 删除操作******
2020-12-30 10:36:23.441 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 查询操作******
2020-12-30 10:37:45.693 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 权限校验*******
2020-12-30 10:37:45.709 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 保存操作******
2020-12-30 10:37:45.709 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 更新操作******
2020-12-30 10:37:45.709 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 删除操作******
2020-12-30 10:37:45.710 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 查询操作******
2020-12-30 10:38:36.491 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 权限校验*******
2020-12-30 10:38:36.511 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 保存操作******
2020-12-30 10:38:36.511 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 更新操作******
2020-12-30 10:38:36.512 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 删除操作******
2020-12-30 10:38:36.512 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 查询操作******
2020-12-30 10:42:59.558 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 更新操作******
2020-12-30 10:42:59.562 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 权限校验*******
2020-12-30 10:42:59.564 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 保存操作******
2020-12-30 10:42:59.564 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 删除操作******
2020-12-30 10:42:59.564 [main] INFO  com.ex.evil_log.Bean_Proxy.ProductDao - 查询操作******
2020-12-30 10:51:39.800 [main] INFO  com.ex.evil_log.bean_proxy.ProductDao - 更新操作******
2020-12-30 10:51:39.806 [main] INFO  com.ex.evil_log.bean_proxy.ProductDao - 权限校验*******
2020-12-30 10:51:39.806 [main] INFO  com.ex.evil_log.bean_proxy.ProductDao - 保存操作******
2020-12-30 10:51:39.806 [main] INFO  com.ex.evil_log.bean_proxy.ProductDao - 删除操作******
2020-12-30 10:51:39.807 [main] INFO  com.ex.evil_log.bean_proxy.ProductDao - 查询操作******
